Name,established,Staffcounttotal,Totalfundsraised10yearsmn,International,Totalnumberoffunds,FundSize_Preqin,Auditor_pct,Avg_vintage,Scale_number_portfolio_companies,Sum_wtvpi,Sum_wirr_preqin,Firm_age,LogFundSize_Preqin,FundSize_Calvin,WestCoast,EastCoast,OtherUSLocation,LogFundSize_Calvin,Log_Staffcount,Sum_wirr_all,MissingIRR,BuyoutFund,VCGrowthCapital,Diversified,Healthcare,Technology,ConsumerGoods,OtherIndustry,Public,HasESGonWebsite,E_navigationalpage,E_document,E_Portfoliocasestudies,E_Media,E_AdoptTCFD,E_SignatorytoICI,E_SignatoryNetZeroAsset,E_CarbonNeutralProtocolCert,S_navigationalpage,S_document,S_Portfoliocasestudies,S_Media,S_DEIpolicy,S_DEIcommittee,S_ChiefDiversityOfficer,S_SignatoryILPADiversity,S_SignatoryCEOAction,S_SponsorLevel20,S_10pctWomeninBoard,S_10pctWomeninLeadership,G_navigationalpage,G_document,G_Portfoliocasestudies,Other_ESGfund,Other_ESGmicrosite,Other_ESGdocument,Other_Portfoliocasestudies,Other_ESGMedia,Other_ESGsectionvisible,Other_ESGpolicy,Other_ESGreport,Other_ChiefESGofficer,Other_ESGcommittee,Other_SignatoryPRI,Other_AdoptAICGuidelines,Other_AdoptSASBstandards,Other_AlignwithSDGs,Other_SignatoryESGConvergence,Other_ESGAwards,E_HasDocumentsorPages,E_ALLSignatory,S_HasDEI,S_ALLSignatory,S_10PctWomenBoardExec,S_HasDocumentsorPages,G_HasDocumentsorPages,Other_HasESGHeadorCommittee,Other_ALLFramework,E_WeightedESGScore_1,S_WeightedESGScore_1,G_WeightedESGScore_1,Other_WeightedESGScore_1,Total_WeightedESGScore_1,E_WeightedESGScore_2,S_WeightedESGScore_2,G_WeightedESGScore_2,Other_WeightedESGScore_2,Total_WeightedESGScore_2,Total_WeightedESGScore_3,Total_WeightedESGScore_4,E_WeightedESGScore_5,S_WeightedESGScore_5,G_WeightedESGScore_5,Other_WeightedESGScore_5,Total_WeightedESGScore_5,Total_WeightedESGScore_6,Total_WeightedESGScore_7,Total_WeightedESGScore_8,E_GreenwashingScore_1,E_HasDocsOrMedia,E_GreenwashingScore_2,E_HasDocsOrMedia_2,S_GreenwashingScore_1,S_HasDocsOrMedia,S_GreenwashingScore_2,S_HasDocsOrMedia_2,Other_GreenwashingScore_1,Total_EorSDocsOrMedia,Other_GreenwashingScore_2,Total_EorSDocsOrMedia_2,Total_GreenwashingScore_1,Total_GreenwashingScore_2,High_Frameworks,Medium_Frameworks,Low_Frameworks,Low_Medium_Frameworks
Searchlight Capital Partners,2010,95,NA,0,3,6203,1,2015,NA,NA,1.3232307434082031,11,8.7327880859375,3400,0,1,0,8.13153076171875,4.553876876831055,1.3232307434082031,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
Vista Equity Partners,2000,503,61481.7,0,32,52167.80078125,0.75,2018.25,2,0.8875212073326111,11.234091758728027,21,10.862220764160156,37806,0,0,1,10.540223121643066,6.220590114593506,11.234091758728027,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0.27272728085517883,0.5,0.25,0.5384615659713745,3.1451048851013184,0.20000000298023224,0.4000000059604645,0.25,0.4545454680919647,2.5590908527374268,3,1.304545521736145,0.3333333432674408,0.4000000059604645,0.5,0.6000000238418579,3.5,1.8333333730697632,1.9590909481048584,2.7666666507720947,3,1,1,1,2,1,2,1,2,1,2,1,7,5,0,2,1,3
K1 Investment Management,2010,71,7240,0,7,7460,0.8571428656578064,2016.7142333984375,NA,0.270114541053772,4.2110185623168945,11,8.91731071472168,7264,1,0,0,8.89068603515625,4.2626800537109375,4.2110185623168945,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
ACON Investments,1996,55,3400.8,1,8,3514.800048828125,0.875,2017.875,1,0.6350513696670532,7.3952202796936035,25,8.164737701416016,3442,0,1,0,8.143808364868164,4.007333278656006,7.3952202796936035,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1538461595773697,0.3076923191547394,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Thomas H Lee Partners,1974,77,14473.1,1,7,8283.099609375,0.1428571492433548,2020.4285888671875,1,NA,NA,47,9.02197265625,10080,0,1,0,9.218308448791504,4.343805313110352,26.420000076293945,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1538461595773697,0.3076923191547394,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
One Equity Partners,2001,46,7471.9,1,6,7471.89990234375,0.5,2018.6666259765625,1,NA,NA,20,8.918904304504395,3400,0,1,0,8.13153076171875,3.828641414642334,NA,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.25,0,0,0.5,0,0.30000001192092896,0,0,0.6000000238418579,0,0.30000001192092896,0,0.20000000298023224,0,0,0.4000000059604645,0.20000000298023224,0.30000001192092896,0.20000000298023224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veritas Capital,1992,94,24375,0,5,14204,0.4000000059604645,2016.4000244140625,NA,NA,2.305032253265381,29,9.561279296875,19208,0,1,0,9.863081932067871,4.543294906616211,2.305032253265381,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
Roark Capital Group,2001,108,16523.7,0,9,13314.900390625,1,2015.4444580078125,2,0.8420040607452393,13.425185203552246,20,9.496639251708984,7500,0,0,1,8.92265796661377,4.682131290435791,13.425185203552246,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.3333333432674408,0,0,0.6666666865348816,0,0.4000000059604645,0,0,0.800000011920929,0,0.4000000059604645,0,0.6000000238418579,0,0,1.2000000476837158,0.6000000238418579,0.4000000059604645,0.6000000238418579,0,0,0,0,3,1,2,1,6,1,5,1,9,7,0,0,0,0
KPS Capital Partners,1998,64,10713.8,0,3,10897.5,1,2013.3333740234375,1,NA,7.241945266723633,23,9.29628849029541,7142,0,1,0,8.873747825622559,4.158883094787598,7.241945266723633,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
Lindsay Goldberg,2001,48,NA,0,3,11629.2001953125,1,2014,NA,NA,14.363663673400879,20,9.361274719238281,3758,0,1,0,8.23164176940918,3.8712010383605957,14.363663673400879,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GI Partners,2001,93,9336.4,0,12,10635,0.6666666865348816,2019.0833740234375,NA,0.39469805359840393,5.5458984375,20,9.271905899047852,9002,1,0,0,9.105201721191406,4.532599449157715,5.5458984375,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.23076923191547394,0.4615384638309479,0,0,0,0.09090909361839294,0.1818181872367859,1,0.09090909361839294,0,0,0,0.20000000298023224,0.4000000059604645,0.20000000298023224,0.1818181872367859,0.4000000059604645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
